Date,Description,Amount
2026-06-16,AMAZON RELOCATION STIPEND,3000.00
2026-06-16,NETFLIX.COM,-15.49
2026-06-17,SAFEWAY #1234 SEATTLE,-84.21
2026-06-17,STARBUCKS STORE #402,-6.85
2026-06-18,ORCA TRANSIT CARD RELOAD,-50.00
2026-06-19,AMAZON.COM PAYROLL DIRECT DEP,4512.37
2026-06-20,GREYSTAR APARTMENT LEASING RENT,-1975.00
2026-06-20,SPOTIFY USA,-11.99
2026-06-21,CHIPOTLE ONLINE,-13.40
2026-06-22,UBER TRIP,-18.75
2026-06-23,AMAZON.COM ORDER,-54.32
2026-06-24,TRADER JOE'S #145,-63.50
2026-06-26,DOORDASH ORDER,-28.90
2026-06-28,CHEVRON GAS,-38.90
2026-06-30,WHOLE FOODS MARKET,-96.10
2026-06-30,MONTHLY SERVICE FEE,-12.00
2026-07-01,GREYSTAR APARTMENT LEASING RENT,-1975.00
2026-07-01,AMAZON PRIME MEMBERSHIP,-14.99
2026-07-02,COSTCO WHOLESALE,-172.88
2026-07-02,TRANSFER TO SAVINGS,-500.00
2026-07-03,AMAZON.COM PAYROLL DIRECT DEP,4512.37
2026-07-04,STARBUCKS STORE #402,-7.15
2026-07-05,LYFT RIDE,-22.40
2026-07-06,PLANET FITNESS GYM,-24.99
2026-07-07,TARGET STORE #45,-78.19
2026-07-08,UBER EATS,-24.60
2026-07-09,SAFEWAY #1234 SEATTLE,-78.45
2026-07-10,ATM WITHDRAWAL FEE,-3.50
2026-07-11,SHELL OIL GAS,-41.30
2026-07-12,TRADER JOE'S #145,-58.22
2026-07-13,PAGLIACCI PIZZA,-19.75
2026-07-14,BEST BUY #221,-129.99
2026-07-15,QFC #820,-52.30
2026-07-16,ORCA TRANSIT CARD RELOAD,-50.00
2026-07-16,NETFLIX.COM,-15.49
2026-07-17,AMAZON.COM PAYROLL DIRECT DEP,4512.37
2026-07-18,STARBUCKS STORE #402,-6.85
2026-07-20,SPOTIFY USA,-11.99
